prolific_id,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,total_trial_number,trial_number,block_number,animacy,number,pose,trial_type,background_id,background_animacy,background_pose,background_number,deviant_id,deviant_animacy,deviant_pose,deviant_number,same_animacy,same_number,same_pose,same_id,val
5b4b859e11d39e00017bc223,3239,deviant_block,inanimate_009_left.png,inanimate_009_right.png,inanimate_single_left,inanimate_single_right,pose,6,3,12,inanimate,single,left,background,009,inanimate,left,single,009,inanimate,right,single,TRUE,TRUE,FALSE,TRUE,0.22009306801140557
647e2500ac34cb60b8e1348d,5254,background_block,inanimate_006_right.png,,inanimate_single_right,,animacy,4,3,4,inanimate,single,right,background,006,inanimate,right,single,NA,animate,right,single,FALSE,TRUE,TRUE,NA,NA
654e48ce4077acb50f6db62e,911,deviant_block,inanimate_009_right_pair.png,inanimate_009_right.png,inanimate_pair_right,inanimate_single_right,number,4,3,10,inanimate,pair,right,background,009,inanimate,right,pair,009,inanimate,right,single,TRUE,FALSE,TRUE,TRUE,1.6973110153748041
5f527fcd94f94754853db0e5,4244,deviant_block,animate_003_right.png,animate_003_right_pair.png,animate_single_right,animate_pair_right,number,2,2,13,animate,single,right,deviant,003,animate,right,single,003,animate,right,pair,TRUE,FALSE,TRUE,TRUE,0.393400336522859
5f8c0f0018ada633f6d834e9,1372,deviant_block,inanimate_012_right_pair.png,inanimate_012_right.png,inanimate_pair_right,inanimate_single_right,number,2,1,11,inanimate,pair,right,background,012,inanimate,right,pair,012,inanimate,right,single,TRUE,FALSE,TRUE,TRUE,0.1365674223524197
63dbddb434d075a0bff1dbc7,4315,background_block,inanimate_007_left.png,,inanimate_single_left,,background,4,3,7,inanimate,single,left,background,007,inanimate,left,single,NA,animate,right,single,FALSE,TRUE,FALSE,NA,NA
63d52038bacd9968ad329bba,3781,background_block,animate_004_right.png,,animate_single_right,,background,4,3,8,animate,single,right,background,004,animate,right,single,NA,animate,right,single,TRUE,TRUE,TRUE,NA,NA
64e4dda38345d3e1fe4f6a4b,1783,background_block,animate_004_left_pair.png,,animate_pair_left,,background,6,1,12,animate,pair,left,background,004,animate,left,pair,NA,animate,right,single,TRUE,FALSE,FALSE,NA,NA
606c6e9f7e86c0264ab3d7d8,1161,deviant_block,inanimate_010_right_pair.png,inanimate_010_left_pair.png,inanimate_pair_right,inanimate_pair_left,pose,6,2,4,inanimate,pair,right,background,010,inanimate,right,pair,010,inanimate,left,pair,TRUE,TRUE,FALSE,TRUE,0.1824511676252302
5f299dcd0f4c5e0e006ba7cd,7026,deviant_block,inanimate_003_left_pair.png,inanimate_003_right_pair.png,inanimate_pair_left,inanimate_pair_right,pose,4,1,6,inanimate,pair,left,background,003,inanimate,left,pair,003,inanimate,right,pair,TRUE,TRUE,FALSE,TRUE,0.24106384665152616
5bef0e8f1e78580001dbedf1,1176,background_block,animate_012_right_pair.png,,animate_pair_right,,background,6,6,8,animate,pair,right,background,012,animate,right,pair,NA,animate,right,single,TRUE,FALSE,TRUE,NA,NA
59fc8aba087f2e0001ead671,1122,deviant_block,inanimate_002_right.png,inanimate_002_left.png,inanimate_single_right,inanimate_single_left,pose,2,1,6,inanimate,single,right,background,002,inanimate,right,single,002,inanimate,left,single,TRUE,TRUE,FALSE,TRUE,0.14806082682992455
615880a66bc32302998866d9,1318,deviant_block,inanimate_003_left_pair.png,inanimate_007_left_pair.png,inanimate_pair_left,inanimate_pair_left,identity,6,5,16,inanimate,pair,left,background,003,inanimate,left,pair,007,inanimate,left,pair,TRUE,TRUE,TRUE,FALSE,1.533198425098517
5e9b0ac83abad80009e61116,2094,background_block,animate_004_left.png,,animate_single_left,,background,6,3,4,animate,single,left,background,004,animate,left,single,NA,animate,right,single,TRUE,TRUE,FALSE,NA,NA
56cb314508d7300005fd312a,2516,background_block,animate_008_left_pair.png,,animate_pair_left,,background,4,2,10,animate,pair,left,background,008,animate,left,pair,NA,animate,right,single,TRUE,FALSE,FALSE,NA,NA
5c50a6869963920001a8bfb3,1143,deviant_block,inanimate_004_left_pair.png,inanimate_004_right_pair.png,inanimate_pair_left,inanimate_pair_right,pose,4,2,9,inanimate,pair,left,background,004,inanimate,left,pair,004,inanimate,right,pair,TRUE,TRUE,FALSE,TRUE,0.4474252481741344
5f197db1bc75e000082aba9e,784,deviant_block,animate_006_right_pair.png,inanimate_011_right_pair.png,animate_pair_right,inanimate_pair_right,animacy,6,3,15,animate,pair,right,background,006,animate,right,pair,011,inanimate,right,pair,FALSE,TRUE,TRUE,FALSE,3.3873542731031727
633129042bb1ab9f1847e81f,1885,deviant_block,inanimate_012_right.png,inanimate_012_left.png,inanimate_single_right,inanimate_single_left,pose,6,5,15,inanimate,single,right,background,012,inanimate,right,single,012,inanimate,left,single,TRUE,TRUE,FALSE,TRUE,0.3081606496837004
631a1f357c56acbb68d5dc14,4535,background_block,animate_005_left_pair.png,,animate_pair_left,,background,6,1,8,animate,pair,left,background,005,animate,left,pair,NA,animate,right,single,TRUE,FALSE,FALSE,NA,NA
6027a9d3f33f0302534823c3,1702,deviant_block,inanimate_003_right_pair.png,inanimate_003_left_pair.png,inanimate_pair_right,inanimate_pair_left,pose,4,4,16,inanimate,pair,right,deviant,003,inanimate,right,pair,003,inanimate,left,pair,TRUE,TRUE,FALSE,TRUE,0.24106384665152616
6159d36b31fe01e003282538,4838,deviant_block,inanimate_007_left.png,inanimate_009_left.png,inanimate_single_left,inanimate_single_left,identity,4,2,2,inanimate,single,left,background,007,inanimate,left,single,009,inanimate,left,single,TRUE,TRUE,TRUE,FALSE,1.579087081056174
60cc30fe65c26745707fb08c,4588,deviant_block,animate_011_right_pair.png,animate_011_right.png,animate_pair_right,animate_single_right,number,2,1,9,animate,pair,right,background,011,animate,right,pair,011,animate,right,single,TRUE,FALSE,TRUE,TRUE,0.6547446859672328
5b5f3e6d9351420001b7d0ea,1708,deviant_block,inanimate_008_left.png,animate_006_left.png,inanimate_single_left,animate_single_left,animacy,2,1,15,inanimate,single,left,background,008,inanimate,left,single,006,animate,left,single,FALSE,TRUE,TRUE,FALSE,2.361002184256951
64528f78d8486d9706ca666b,2046,background_block,animate_011_right_pair.png,,animate_pair_right,,background,6,3,4,animate,pair,right,background,011,animate,right,pair,NA,animate,right,single,TRUE,FALSE,TRUE,NA,NA
