param_id,trial_type,trial_number,total_trial_number,mean_sample
18,deviant,6,6,7.368333333333333
19,background,1,2,68.72666666666666
19,background,1,4,69.425
19,background,1,6,69.16666666666667
19,background,2,2,24.285
19,background,2,4,24.04
19,background,2,6,25.08824561403509
19,background,3,4,17.483333333333334
19,background,3,6,16.538245614035088
19,background,4,4,14.27342105263158
19,background,4,6,14.976929824561404
19,background,5,6,10.930526315789473
19,background,6,6,10.053849902534113
19,deviant,2,2,24.285
19,deviant,4,4,14.27342105263158
19,deviant,6,6,10.053849902534113
20,background,1,2,42.39333333333333
20,background,1,4,40.69833333333333
20,background,1,6,40.55166666666667
20,background,2,2,13.743333333333334
20,background,2,4,13.988333333333333
20,background,2,6,13.799999999999999
20,background,3,4,10.25
20,background,3,6,9.823333333333334
20,background,4,4,7.59
20,background,4,6,7.68
20,background,5,6,6.265
20,background,6,6,6.086666666666667
20,deviant,2,2,13.743333333333334
20,deviant,4,4,7.59
20,deviant,6,6,6.086666666666667
21,background,1,2,71.545
21,background,1,4,78.685
21,background,1,6,72.81833333333333
21,background,2,2,20.886666666666667
21,background,2,4,24.15833333333333
21,background,2,6,23.175
21,background,3,4,16.686666666666667
21,background,3,6,15.342280701754387
21,background,4,4,12.776666666666667
21,background,4,6,12.273333333333333
21,background,5,6,10.743771929824561
21,background,6,6,9.659298245614035
21,deviant,2,2,20.886666666666667
21,deviant,4,4,12.776666666666667
21,deviant,6,6,9.659298245614035
22,background,1,2,43.765
22,background,1,4,42.16833333333334
22,background,1,6,41.79833333333333
22,background,2,2,13.196666666666667
22,background,2,4,13.841666666666667
22,background,2,6,13.165000000000001
22,background,3,4,9.698333333333334
22,background,3,6,9.375
22,background,4,4,7.785
22,background,4,6,7.558333333333334
22,background,5,6,6.948333333333333
22,background,6,6,5.708333333333333
22,deviant,2,2,13.196666666666667
22,deviant,4,4,7.785
22,deviant,6,6,5.708333333333333
23,background,1,2,76.3
23,background,1,4,72.61333333333333
23,background,1,6,77.27333333333334
23,background,2,2,23.173333333333332
23,background,2,4,22.29
23,background,2,6,23.708333333333332
23,background,3,4,15.863333333333333
23,background,3,6,16.080000000000002
23,background,4,4,13.011666666666667
23,background,4,6,13.3
23,background,5,6,11.763333333333334
23,background,6,6,9.040438596491228
23,deviant,2,2,23.173333333333332
23,deviant,4,4,13.011666666666667
23,deviant,6,6,9.040438596491228
24,background,1,2,34.916666666666664
24,background,1,4,34.685
24,background,1,6,34.056666666666665
24,background,2,2,14.948333333333332
24,background,2,4,14.798333333333334
24,background,2,6,12.656666666666666
24,background,3,4,9.935
24,background,3,6,10.92
24,background,4,4,7.78
24,background,4,6,8.381666666666666
24,background,5,6,7.406666666666666
24,background,6,6,6.798333333333334
24,deviant,2,2,14.948333333333332
24,deviant,4,4,7.78
24,deviant,6,6,6.798333333333334
25,background,1,2,66.43260869565218
25,background,1,4,61.981249999999996
25,background,1,6,65.94
25,background,2,2,24.297826086956523
25,background,2,4,25.0025
25,background,2,6,22.54875
25,background,3,4,17.48875
25,background,3,6,16.23125
25,background,4,4,14.475
25,background,4,6,12.863684210526316
25,background,5,6,10.660555555555556
25,background,6,6,10.702387770897833
25,deviant,2,2,24.297826086956523
25,deviant,4,4,14.475
25,deviant,6,6,10.702387770897833
26,background,1,2,38.925
26,background,1,4,40.971666666666664
26,background,1,6,40.60333333333333
26,background,2,2,14.015
26,background,2,4,12.613333333333333
26,background,2,6,13.776666666666667
26,background,3,4,9.01
26,background,3,6,9.6
26,background,4,4,7.45
26,background,4,6,8.133333333333333
26,background,5,6,6.631666666666667
26,background,6,6,5.825
26,deviant,2,2,14.015
26,deviant,4,4,7.45
26,deviant,6,6,5.825
27,background,1,2,72.50333333333333
27,background,1,4,71.36166666666666
27,background,1,6,71.98833333333333
27,background,2,2,22.055
27,background,2,4,21.53333333333333
27,background,2,6,22.485
27,background,3,4,15.096666666666666
27,background,3,6,15.121666666666666
27,background,4,4,12.451666666666666
27,background,4,6,12.84
27,background,5,6,11.203333333333333
27,background,6,6,9.565
27,deviant,2,2,22.055
27,deviant,4,4,12.451666666666666
27,deviant,6,6,9.565
28,background,1,2,39.163333333333334
28,background,1,4,40.111666666666665
28,background,1,6,38.855
28,background,2,2,13.495000000000001
28,background,2,4,13.336666666666666
28,background,2,6,13.106666666666667
28,background,3,4,9.72
28,background,3,6,9.143333333333333
28,background,4,4,7.958333333333333
28,background,4,6,7.92
28,background,5,6,7.098333333333334
28,background,6,6,6.138333333333334
28,deviant,2,2,13.495000000000001
28,deviant,4,4,7.958333333333333
28,deviant,6,6,6.138333333333334
29,background,1,2,73.56375
29,background,1,4,71.66125
29,background,1,6,72.2875
29,background,2,2,22.52875
29,background,2,4,22.40125
29,background,2,6,22.8
29,background,3,4,15.41625
29,background,3,6,16.03625
29,background,4,4,12.2075
29,background,4,6,12.38125
29,background,5,6,10.47
29,background,6,6,9.74532894736842
29,deviant,2,2,22.52875
29,deviant,4,4,12.2075
29,deviant,6,6,9.74532894736842
30,background,1,2,29.233333333333334
30,background,1,4,31.716666666666665
30,background,1,6,29.088333333333335
30,background,2,2,11.54
30,background,2,4,12.191666666666666
30,background,2,6,14.231666666666667
30,background,3,4,9.316666666666666
30,background,3,6,8.768333333333333
30,background,4,4,7.486666666666666
30,background,4,6,7.576666666666667
30,background,5,6,6.915
30,background,6,6,6.468333333333334
30,deviant,2,2,11.54
30,deviant,4,4,7.486666666666666
30,deviant,6,6,6.468333333333334
31,background,1,2,64.41666666666667
31,background,1,4,63.905
31,background,1,6,59.33793103448276
31,background,2,2,19.626666666666665
31,background,2,4,21.44
31,background,2,6,22.425499092558983
31,background,3,4,13.053333333333333
31,background,3,6,13.243738656987295
31,background,4,4,11.578333333333333
31,background,4,6,11.758802177858438
31,background,5,6,10.042105263157895
31,background,6,6,9.42513611615245
31,deviant,2,2,19.626666666666665
31,deviant,4,4,11.578333333333333
31,deviant,6,6,9.42513611615245
32,background,1,2,35.16833333333334
32,background,1,4,36.555
32,background,1,6,37.31333333333333
32,background,2,2,12.01
32,background,2,4,12.486666666666666
32,background,2,6,11.866666666666667
32,background,3,4,8.658333333333333
32,background,3,6,8.291666666666666
32,background,4,4,6.841666666666667
32,background,4,6,6.995
32,background,5,6,5.601666666666667
32,background,6,6,5.4366666666666665
32,deviant,2,2,12.01
32,deviant,4,4,6.841666666666667
32,deviant,6,6,5.4366666666666665
33,background,1,2,63.565
33,background,1,4,65.47833333333334
33,background,1,6,67.42166666666667
33,background,2,2,21.43166666666667
33,background,2,4,18.846666666666668
33,background,2,6,19.911666666666665
33,background,3,4,13.29
33,background,3,6,14.843333333333334
33,background,4,4,11.208333333333334
33,background,4,6,10.426666666666666
33,background,5,6,9.37
33,background,6,6,8.078333333333333
33,deviant,2,2,21.43166666666667
33,deviant,4,4,11.208333333333334
33,deviant,6,6,8.078333333333333
34,background,1,2,35.836666666666666
34,background,1,4,37.74
34,background,1,6,37.065
34,background,2,2,11.584999999999999
34,background,2,4,12.02
34,background,2,6,11.591666666666667
34,background,3,4,8.805
34,background,3,6,7.983333333333333
34,background,4,4,7.24
34,background,4,6,6.403333333333333
34,background,5,6,5.863333333333333
34,background,6,6,5.281666666666666
34,deviant,2,2,11.584999999999999
34,deviant,4,4,7.24
34,deviant,6,6,5.281666666666666
35,background,1,2,68.045
35,background,1,4,69.79166666666667
35,background,1,6,65.285
35,background,2,2,19.488333333333333
35,background,2,4,19.241666666666667
35,background,2,6,21.676666666666666
35,background,3,4,13.296666666666667
35,background,3,6,14.25
35,background,4,4,10.681666666666667
35,background,4,6,11.061666666666667
35,background,5,6,9.666666666666666
35,background,6,6,8.836666666666666
35,deviant,2,2,19.488333333333333
35,deviant,4,4,10.681666666666667
35,deviant,6,6,8.836666666666666
36,background,1,2,31.275
36,background,1,4,35.43333333333334
36,background,1,6,33.096666666666664
36,background,2,2,14.625
36,background,2,4,14.978333333333333
36,background,2,6,13.976666666666667
36,background,3,4,10.751666666666667
36,background,3,6,11.883333333333333
36,background,4,4,8.338333333333333
36,background,4,6,7.595
36,background,5,6,8.093333333333334
36,background,6,6,5.846666666666667
36,deviant,2,2,14.625
36,deviant,4,4,8.338333333333333
36,deviant,6,6,5.846666666666667
37,background,1,2,60.501666666666665
37,background,1,4,57.94166666666667
37,background,1,6,64.46
37,background,2,2,22.52
37,background,2,4,23.908333333333335
37,background,2,6,21.596666666666668
37,background,3,4,16.566666666666666
37,background,3,6,15.438333333333333
37,background,4,4,12.868070175438596
37,background,4,6,13.678235867446393
37,background,5,6,10.151539961013645
37,background,6,6,9.69888888888889
37,deviant,2,2,22.52
37,deviant,4,4,12.868070175438596
37,deviant,6,6,9.69888888888889
38,background,1,2,36.795
38,background,1,4,35.49
38,background,1,6,36.98833333333334
38,background,2,2,13.196666666666667
38,background,2,4,14.218333333333334
38,background,2,6,13.495000000000001
38,background,3,4,9.195
38,background,3,6,9.543333333333333
38,background,4,4,7.576666666666666
38,background,4,6,7.555
38,background,5,6,6.803333333333333
38,background,6,6,6.196666666666666
38,deviant,2,2,13.196666666666667
38,deviant,4,4,7.576666666666666
38,deviant,6,6,6.196666666666666
39,background,1,2,67.68666666666667
39,background,1,4,66.905
39,background,1,6,67.08500000000001
39,background,2,2,22.12333333333333
39,background,2,4,21.1
39,background,2,6,22.425
39,background,3,4,15.715526315789473
39,background,3,6,16.715
39,background,4,4,11.485964912280702
39,background,4,6,13.106666666666667
39,background,5,6,10.416666666666666
39,background,6,6,9.108333333333333
39,deviant,2,2,22.12333333333333
39,deviant,4,4,11.485964912280702
39,deviant,6,6,9.108333333333333
40,background,1,2,38.85166666666667
40,background,1,4,35.59166666666667
40,background,1,6,38.13166666666667
40,background,2,2,13.726666666666667
40,background,2,4,13.396666666666667
40,background,2,6,13.966666666666667
40,background,3,4,9.758333333333333
40,background,3,6,8.925
40,background,4,4,8.006666666666666
40,background,4,6,7.583333333333333
40,background,5,6,6.926666666666667
40,background,6,6,5.631666666666667
40,deviant,2,2,13.726666666666667
40,deviant,4,4,8.006666666666666
40,deviant,6,6,5.631666666666667
41,background,1,2,68.18666666666667
41,background,1,4,66.73833333333333
41,background,1,6,67.14
41,background,2,2,23.291666666666668
41,background,2,4,21.553333333333335
41,background,2,6,23.008333333333333
41,background,3,4,14.703333333333333
