param_id,trial_type,mean_sample
48,animacy,8.630555555555556
48,background,17.343055555555555
48,identity,9.080555555555556
48,number,9.791666666666666
48,pose,8.105555555555556
49,animacy,14.488888888888889
49,background,31.914464546783627
49,identity,15.423538011695907
49,number,15.341666666666667
49,pose,14.789327485380117
50,animacy,9.146153846153846
50,background,19.038414634146342
50,identity,8.54642857142857
50,number,8.74423076923077
50,pose,8.653846153846153
51,animacy,15.938636363636364
51,background,33.999120234604106
51,identity,14.085416666666667
51,number,14.960416666666667
51,pose,15.593478260869565
52,animacy,9.216666666666667
52,background,18.837847222222223
52,identity,9.019444444444444
52,number,8.438888888888888
52,pose,8.991666666666667
53,animacy,14.527777777777779
53,background,32.439527027027026
53,identity,13.2125
53,number,14.06
53,pose,14.844444444444445
54,animacy,10.697222222222223
54,background,18.44704861111111
54,identity,9.147222222222222
54,number,11.344444444444445
54,pose,9.897222222222222
55,animacy,15.406140350877193
55,background,33.11138929499675
55,identity,16.447222222222223
55,number,16.02938596491228
55,pose,15.445614035087718
56,animacy,9.308333333333334
56,background,19.820486111111112
56,identity,9.572222222222223
56,number,9.725
56,pose,10.411111111111111
57,animacy,15.055555555555555
57,background,34.10825109649123
57,identity,14.338888888888889
57,number,15.16388888888889
57,pose,14.384941520467835
58,animacy,9.744444444444445
58,background,19.98125
58,identity,8.988888888888889
58,number,8.847222222222223
58,pose,8.269444444444444
59,animacy,14.944444444444445
59,background,34.11480263157895
59,identity,14.046783625730994
59,number,13.863888888888889
59,pose,16.09722222222222
60,animacy,9.241666666666667
60,background,18.421701388888888
60,identity,10.116666666666667
60,number,10.725
60,pose,9.427777777777777
61,animacy,16.081315789473685
61,background,32.22887801769381
61,identity,13.443552631578948
61,number,17.14027777777778
61,pose,15.915000000000001
62,animacy,9.572222222222223
62,background,19.10295138888889
62,identity,8.758333333333333
62,number,8.633333333333333
62,pose,8.172222222222222
63,animacy,14.061111111111112
63,background,32.61666666666667
63,identity,14.88888888888889
63,number,13.522222222222222
63,pose,14.855555555555556
64,animacy,8.48611111111111
64,background,19.292708333333334
64,identity,9.35
64,number,9.372222222222222
64,pose,8.702777777777778
65,animacy,15.35
65,background,32.546875
65,identity,14.191666666666666
65,number,13.311111111111112
65,pose,13.180555555555555
66,animacy,8.655555555555555
66,background,16.001041666666666
66,identity,10.230555555555556
66,number,7.877777777777778
66,pose,8.972222222222223
67,animacy,14.35029239766082
67,background,30.003664108187134
67,identity,13.953801169590644
67,number,16.35891812865497
67,pose,15.06388888888889
68,animacy,8.433333333333334
68,background,17.26736111111111
68,identity,8.427777777777777
68,number,7.941666666666666
68,pose,8.063888888888888
69,animacy,13.475
69,background,30.1765
69,identity,12.8925
69,number,13.875
69,pose,14.219999999999999
70,animacy,8.33611111111111
70,background,17.937326388888888
70,identity,8.63888888888889
70,number,8.497222222222222
70,pose,8.655555555555555
71,animacy,12.25
71,background,30.703125
71,identity,12.502777777777778
71,number,13.727777777777778
71,pose,13.788888888888888
72,animacy,10.405555555555555
72,background,18.74357638888889
72,identity,10.66388888888889
72,number,8.927777777777777
72,pose,11.541666666666666
73,animacy,17.8937134502924
73,background,32.755199195906435
73,identity,17.025
73,number,14.740221878224974
73,pose,15.500893437296947
74,animacy,9.519444444444444
74,background,19.63732638888889
74,identity,9.205555555555556
74,number,10.294444444444444
74,pose,9.644444444444444
75,animacy,14.691666666666666
75,background,35.119325657894734
75,identity,15.177777777777777
75,number,16.475
75,pose,15.925
76,animacy,8.441666666666666
76,background,19.7046875
76,identity,9.386111111111111
76,number,8.838888888888889
76,pose,9.108333333333334
77,animacy,16.13888888888889
77,background,34.74427083333333
77,identity,14.347222222222221
77,number,15.877923976608187
77,pose,14.163888888888888
78,animacy,9.23611111111111
78,background,17.9671875
78,identity,10.302777777777777
78,number,9.058333333333334
78,pose,11.333333333333334
79,animacy,16.613450292397662
79,background,31.35732314002599
79,identity,15.293843404808317
79,number,15.16827485380117
79,pose,13.18187134502924
80,animacy,7.463888888888889
80,background,19.378819444444446
80,identity,9.302777777777777
80,number,8.563888888888888
80,pose,8.833333333333334
81,animacy,15.775
81,background,32.62482638888889
81,identity,15.102777777777778
81,number,15.519444444444444
81,pose,14.505555555555556
82,animacy,9.119444444444445
82,background,19.593229166666667
82,identity,9.016666666666667
82,number,9.661111111111111
82,pose,9.202777777777778
83,animacy,14.616666666666667
83,background,32.48576388888889
83,identity,12.758333333333333
83,number,13.147222222222222
83,pose,15.183333333333334
84,animacy,8.080555555555556
84,background,17.074647887323945
84,identity,8.411111111111111
84,number,7.108333333333333
84,pose,9.044444444444444
85,animacy,15.030555555555555
85,background,30.954157529239765
85,identity,12.747222222222222
85,number,12.491666666666667
85,pose,15.219444444444445
86,animacy,7.588888888888889
86,background,17.38767361111111
86,identity,8.272222222222222
86,number,8.130555555555555
86,pose,7.541666666666667
87,animacy,11.897222222222222
87,background,31.320833333333333
87,identity,12.183333333333334
87,number,13.377777777777778
87,pose,13.655555555555555
88,animacy,7.725
88,background,17.584027777777777
88,identity,7.794444444444444
88,number,7.986111111111112
88,pose,6.822222222222222
89,animacy,13.5975
89,background,32.267763157894734
89,identity,14.095
89,number,14.2575
89,pose,14.6275
90,animacy,10.35
90,background,16.843037280701754
90,identity,9.216666666666667
90,number,8.496345029239766
90,pose,10.908333333333333
91,animacy,14.488888888888889
91,background,29.561741593567252
91,identity,15.286111111111111
91,number,15.538206627680312
91,pose,13.355116959064327
92,animacy,8.9175
92,background,19.290836012861735
92,identity,8.85
92,number,9.2275
92,pose,9.79
93,animacy,12.829411764705883
93,background,31.01772418852008
93,identity,14.805555555555555
93,number,12.699561403508772
93,pose,14.266374269005848
94,animacy,8.738888888888889
94,background,18.612456140350876
94,identity,8.566666666666666
94,number,9.635294117647058
94,pose,7.916666666666667
95,animacy,12.741666666666667
95,background,31.06122989766082
95,identity,12.738888888888889
95,number,14.216666666666667
95,pose,12.758333333333333
96,animacy,8.23611111111111
96,background,17.543229166666666
96,identity,8.811111111111112
96,number,9.122222222222222
96,pose,11.127777777777778
97,animacy,14.299122807017543
97,background,29.00920138888889
97,identity,17.352777777777778
97,number,16.694298245614036
97,pose,13.839912280701755
98,animacy,9.883333333333333
98,background,18.518402777777776
98,identity,8.655555555555555
98,number,8.297222222222222
98,pose,8.01388888888889
99,animacy,13.427777777777777
99,background,31.884722222222223
99,identity,14.755555555555555
99,number,12.144444444444444
99,pose,14.769444444444444
100,animacy,7.8694444444444445
100,background,19.426388888888887
100,identity,9.683333333333334
100,number,9.316666666666666
100,pose,9.863888888888889
101,animacy,12.880116959064328
101,background,32.02577668128655
